Date,Rain(mm)
08-07-2018,6.75
09-07-2018,1761.75
10-07-2018,652.5
11-07-2018,963
12-07-2018,254.25
13-07-2018,339.75
14-07-2018,339.75
15-07-2018,38.25
16-07-2018,38.25
17-07-2018,38.25
18-07-2018,29.25
19-07-2018,4.5
20-07-2018,112.5
21-07-2018,735.75
22-07-2018,607.5
23-07-2018,717.75
24-07-2018,513
25-07-2018,195.75
26-07-2018,474.75
27-07-2018,409.5
28-07-2018,1161
29-07-2018,0
30-07-2018,0
31-07-2018,240.75
01-08-2018,398.25
02-08-2018,2.25
03-08-2018,2.25
04-08-2018,2.25
05-08-2018,816.75
06-08-2018,776.25
07-08-2018,681.75
08-08-2018,441
09-08-2018,423
10-08-2018,108
11-08-2018,76.5
12-08-2018,1341
13-08-2018,1804.5
14-08-2018,0
15-08-2018,0
16-08-2018,135
17-08-2018,38.25
18-08-2018,2171.25
19-08-2018,58.5
20-08-2018,742.5
21-08-2018,443.25
22-08-2018,774
23-08-2018,1167.75
24-08-2018,1453.5
25-08-2018,630
26-08-2018,594
27-08-2018,0
28-08-2018,38.25
29-08-2018,65.25
30-08-2018,546.75
31-08-2018,92.25
01-09-2018,900
02-09-2018,634.5
03-09-2018,29.25
04-09-2018,1091.25
05-09-2018,13.5
06-09-2018,58.5
07-09-2018,162
08-09-2018,4.5
09-09-2018,0
10-09-2018,54
11-09-2018,157.5
12-09-2018,87.75
13-09-2018,366.75
14-09-2018,382.5
15-09-2018,0
16-09-2018,0
17-09-2018,0
18-09-2018,0
19-09-2018,0
20-09-2018,0
21-09-2018,589.5
22-09-2018,207
23-09-2018,281.25
24-09-2018,1215
25-09-2018,2.25
26-09-2018,0
27-09-2018,0
28-09-2018,0
29-09-2018,0
30-09-2018,0
01-10-2018,0
02-10-2018,0
03-10-2018,0
04-10-2018,74.25
05-10-2018,0
06-10-2018,0
07-10-2018,0
08-10-2018,0
09-10-2018,0
10-10-2018,24.75
11-10-2018,315
12-10-2018,0
13-10-2018,0
14-10-2018,0
15-10-2018,0
16-10-2018,0
17-10-2018,0
18-10-2018,0
19-10-2018,0
20-10-2018,0
21-10-2018,0
22-10-2018,0
23-10-2018,0
24-10-2018,0
25-10-2018,0
26-10-2018,0
27-10-2018,0
28-10-2018,0
29-10-2018,0
30-10-2018,0
31-10-2018,0
01-11-2018,0
02-11-2018,0
03-11-2018,0
04-11-2018,0
05-11-2018,0
06-11-2018,0
07-11-2018,0
08-11-2018,0
09-11-2018,0
10-11-2018,0
11-11-2018,0
12-11-2018,0
13-11-2018,0
14-11-2018,0
15-11-2018,0
16-11-2018,0
17-11-2018,0
18-11-2018,0
19-11-2018,0
20-11-2018,0
21-11-2018,0
22-11-2018,0
23-11-2018,0
24-11-2018,0
25-11-2018,0
